,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relating to period,July 2014,August 2014,September 2014,October 2014,November 2014,December 2014,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July2020,August 2020,September 2020,October 2020,,,,,,,,,,,,,,
Initial Estimate,26782447,26862557,26906267,26916983,27001586,27013386,27166343,27220568,27291084,27355299,27405562,27468646,27534062,27574472,27617877,27674413,27712949,27699665,27766386,27799592,27808736,27842428,27881152,27918571,27967332,27953166,27989639,28017376,28041893,28096351,28091275,28131845,28171392,28210939,28248075,28284668,28313996,28333995,28369910,28399825,28418445,28460426,28475114,28486409,28478664,28554977,28563979,28586648,28628057,28667782,28670199,28693268,28733370,28755437,28797747,28831877,28872092,28881092,28893472,28906861,28906939,28966630,29011905,29049660,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Dec-19,26782447,26862557,26906267,26916983,27001586,27013386,27166343,27220568,27291084,27355299,27405562,27468646,27534062,27574472,27617877,27674413,27712949,27699665,27766386,27799592,27808736,27842428,27881152,27918571,27967332,27953166,27989639,28017376,28041893,28096351,28091275,28131845,28171392,28210939,28248075,28284668,28313996,28333995,28369910,28399825,28418445,28460426,28475114,28486409,28478664,28554977,28563979,28586648,28628057,28667782,28670199,28693268,28733370,28755437,28797747,28831877,28872092,28881092,28893472,28906861,28906939,28966630,29011905,29049660,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-20,26782150,26863338,26906245,26917178,27001498,27010726,27169117,27220610,27291044,27355168,27405270,27468415,27533786,27575291,27618034,27674686,27712807,27697009,27769262,27799845,27808913,27842387,27880867,27918364,27967413,27954057,27990334,28018660,28041534,28093609,28093883,28132412,28171671,28210739,28247524,28284202,28314173,28334655,28371141,28402687,28417307,28457296,28477767,28487213,28478954,28554427,28562908,28585581,28627900,28667852,28671544,28697520,28730001,28750456,28786983,28819780,28858256,28866812,28877437,28887973,28886870,28936140,28975846,29006288,29050638,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-20,26781009,26864855,26906242,26919872,27004004,27004256,27170735,27220923,27291163,27355058,27404926,27467731,27532474,27576593,27618088,27677200,27716491,27691069,27770531,27799656,27809673,27841893,27880320,27917668,27965899,27954598,27990486,28020632,28048700,28087936,28094239,28131585,28172992,28209458,28246671,28283611,28311915,28334484,28371361,28403899,28429642,28451045,28477171,28485761,28480994,28552025,28555668,28576877,28615055,28656606,28660738,28686541,28735850,28730954,28772415,28807834,28853759,28858421,28869955,28880484,28872627,28925324,28958189,28983477,29010150,29059943,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,26770339,26846127,26899586,26920292,27002425,27028096,27163371,27220465,27296141,27355301,27406768,27470697,27528952,27569089,27621907,27687134,27719849,27714166,27770089,27806228,27817630,27842781,27884446,27925428,27967072,27970662,28002657,28034496,28059691,28114469,28100879,28142497,28181283,28211832,28253100,28290986,28316792,28351748,28386512,28420391,28445313,28490150,28488197,28500040,28487713,28550605,28559978,28583612,28630206,28666690,28671420,28705906,28756424,28767478,28780460,28817538,28863399,28891440,28910938,28922623,28927569,28964022,28999637,29023353,29042630,29102012,29194277,,,,,,,,,,,,,,,,,,,,,,,
Apr-20,26770335,26846185,26900343,26915675,27003886,27011110,27163321,27222928,27303931,27361303,27409377,27471891,27529181,27569237,27622282,27681882,27720993,27697231,27768868,27807652,27827814,27849928,27887529,27927066,27967492,27970524,28002127,28029105,28059447,28097482,28098034,28142507,28195921,28224693,28260780,28296635,28320448,28354504,28388389,28417745,28446508,28477263,28487148,28500698,28508408,28566714,28574551,28597134,28641298,28677270,28681055,28711263,28763726,28765221,28788087,28823662,28894640,28893624,28902689,28910164,28910709,28943448,28972338,28986301,29000029,29035876,29103860,29140695,29122699,,,,,,,,,,,,,,,,,,,,,
May-20,26770444,26845829,26900068,26915032,27004040,27010521,27167254,27223303,27302075,27361127,27409613,27471788,27529259,27568734,27621699,27680982,27720926,27696695,27772800,27808770,27825713,27850112,27888323,27927172,27967386,27969515,28000832,28027792,28058795,28097008,28102186,28144705,28194263,28225565,28262582,28297149,28320280,28352979,28386459,28416257,28445385,28476896,28492176,28505119,28507049,28568333,28578342,28599509,28642735,28677978,28681976,28713498,28766201,28769123,28798696,28835157,28902698,28905799,28910194,28914819,28911112,28938804,28961250,28965914,28969018,28988281,29028673,29027764,29014667,28557556,,,,,,,,,,,,,,,,,,,,
Jun-20,26770655,26845913,26900161,26915273,27004217,27010693,27167233,27223119,27301129,27360668,27409560,27471861,27529408,27568797,27621797,27681253,27721173,27696928,27772852,27808635,27824524,27849514,27888196,27927240,27967500,27969602,28001008,28028100,28059137,28097242,28102385,28144757,28192536,28224757,28262551,28297394,28320490,28353159,28386772,28416642,28445900,28477232,28492585,28505492,28504727,28567133,28578197,28599914,28643020,28678262,28682411,28713927,28766811,28769456,28799351,28836007,28899557,28903067,28906200,28910182,28906157,28933910,28956603,28962079,28965382,28984486,29024748,29022386,29012358,28562982,28400480,,,,,,,,,,,,,,,,,,,
Jul-20,26769797,26845919,26900204,26915248,27004337,27010731,27166979,27223359,27301523,27360879,27409699,27471832,27528540,27568725,27621796,27681247,27721316,27696973,27772630,27808860,27824967,27849673,27888395,27927382,27966108,27969613,28001042,28028116,28059236,28097327,28102317,28144828,28192964,28224844,28262749,28297718,28318491,28353269,28386890,28416769,28446081,28477490,28492757,28505570,28505374,28567355,28578809,28600496,28640360,28678480,28682603,28714114,28767055,28769926,28799713,28836038,28900355,28903370,28906913,28910334,28903031,28934388,28957112,28962864,28966373,28985614,29026333,29023909,29012876,28562457,28438379,28363962,,,,,,,,,,,,,,,,,,
Aug-20,26764297,26838196,26891441,26906822,26993774,27000549,27154803,27212640,27291383,27350266,27400267,27463586,27522291,27560430,27612659,27672375,27710583,27686427,27759477,27795951,27811646,27835515,27875464,27915335,27955916,27957499,27989289,28016434,28045482,28082948,28086248,28129094,28177231,28207833,28246821,28285219,28309236,28340670,28374069,28404746,28433047,28463322,28476213,28489353,28489038,28549266,28560331,28589324,28632333,28664864,28668593,28699711,28751409,28752493,28779390,28815739,28881055,28881570,28885946,28904054,28901263,28927468,28950450,28956018,28959375,28977587,29017113,29015589,29005047,28544711,28409400,28389170,28274758,,,,,,,,,,,,,,,,,
