Date,Product Identification,Product Name,Quantity Sold,Unit Price (USD),Total Revenue (USD),Cost of Goods Sold (USD),Gross Profit (USD)
2025-02-29,WPF1001,Dog Mixed,230,4.10,943.00,500.00,443.00
2025-02-29,WPF1002,Dog Treats,150,4.50,675.00,400.00,275.00
2025-02-29,WPF1005,Cat Chicken,300,3.99,1197.00,600.00,597.00
2025-02-29,WPF1003,Dog Beef,100,3.75,375.00,200.00,175.00
2025-02-29,WPF1004,Dog Chicken,75,3.99,299.25,150.00,149.25
2025-02-29,WPF1006,Cat Mixed,50,3.99,199.50,100.00,99.50
2025-02-29,WPF1007,Cat Fish,190,4.50,855.00,400.00,455.00
2025-01-31,WPF1001,Dog Mixed,150,4.99,1648.50,800.00,848.50
2025-01-31,WPF1002,Dog Treats,200,4.49,1098.00,500.00,598.00
2025-01-31,WPF1005,Cat Chicken,400,3.50,1400.00,900.00,500.00
2025-01-31,WPF1003,Dog Beef,100,3.75,875.00,400.00,475.00
2025-01-31,WPF1004,Dog Chicken,75,3.99,299.25,150.00,149.25
2025-01-31,WPF1006,Cat Mixed,50,3.99,324.50,150.00,174.50
2025-01-31,WPF1007,Cat Fish,190,4.50,1045.00,500.00,545.00
2024-12-31,WPF1001,Dog Mixed,150,4.99,1648.50,800.00,848.50
2024-12-31,WPF1002,Dog Treats,200,4.49,1098.00,500.00,598.00
2024-12-31,WPF1005,Cat Chicken,400,3.50,1400.00,900.00,500.00
2024-12-31,WPF1003,Dog Beef,100,3.75,875.00,400.00,475.00
2024-12-31,WPF1004,Dog Chicken,75,3.99,299.25,150.00,149.25
2024-12-31,WPF1006,Cat Mixed,100,3.99,399.00,190.00,109.50
2024-12-31,WPF1007,Cat Fish,190,4.50,1045.00,500.00,545.00
2024-11-30,WPF1001,Dog Mixed,150,4.99,1648.50,800.00,848.50
2024-11-30,WPF1002,Dog Treats,200,4.49,1098.00,500.00,598.00
2024-11-30,WPF1005,Cat Chicken,400,3.50,1400.00,900.00,500.00
2024-11-30,WPF1003,Dog Beef,100,3.75,875.00,400.00,475.00
2024-11-30,WPF1004,Dog Chicken,75,3.99,299.25,150.00,149.25
2024-11-30,WPF1006,Cat Mixed,100,3.99,399.00,190.00,109.50
2024-11-30,WPF1007,Cat Fish,400,4.50,2090.00,1000.00,1090.00
2024-10-31,WPF1001,Dog Mixed,150,4.99,1648.50,800.00,848.50
2024-10-31,WPF1002,Dog Treats,200,4.49,1098.00,500.00,598.00
2024-10-31,WPF1005,Cat Chicken,400,3.50,1400.00,900.00,500.00
2024-10-31,WPF1003,Dog Beef,100,3.75,875.00,400.00,475.00
2024-10-31,WPF1004,Dog Chicken,75,3.99,299.25,150.00,149.25
2024-10-31,WPF1006,Cat Mixed,100,3.99,399.00,190.00,109.50
2024-10-31,WPF1007,Cat Fish,400,4.50,2090.00,1000.00,1090.00

